FIPS,County Name,Total Population,Number under poverty
US06001,Alameda County,1070197,94382
US06003,Alpine County,784,137
US06005,Amador County,20966,1807
US06007,Butte County,128459,26327
US06009,Calaveras County,24665,3349
US06011,Colusa County,12646,1167
US06013,Contra Costa County,711205,55884
US06015,Del Norte County,14277,2164
US06017,El Dorado County,110859,9995
US06019,Fresno County,590172,100959
US06021,Glenn County,16105,2114
US06023,Humboldt County,82692,18352
US06025,Imperial County,97307,17372
US06027,Inyo County,10222,1267
US06029,Kern County,522887,88119
US06031,Kings County,83404,11446
US06033,Lake County,37326,6585
US06035,Lassen County,13873,2357
US06037,Los Angeles County,6337237,778103
US06039,Madera County,86227,15143
US06041,Marin County,146163,9994
US06043,Mariposa County,9064,1539
US06045,Mendocino County,49850,7897
US06047,Merced County,163739,25855
US06049,Modoc County,4343,660
US06051,Mono County,8511,825
US06053,Monterey County,248992,26159
US06055,Napa County,80766,6077
US06057,Nevada County,55635,6050
US06059,Orange County,1985845,180470
US06061,Placer County,234774,15676
US06063,Plumas County,10225,1281
US06065,Riverside County,1448923,148480
US06067,Sacramento County,972940,118730
US06069,San Benito County,39745,2511
US06071,San Bernardino County,1326149,159888
US06073,San Diego County,2042961,207529
US06075,San Francisco County,585382,56674
US06077,San Joaquin County,462601,52008
US06079,San Luis Obispo County,161572,24191
US06081,San Mateo County,474679,28564
US06083,Santa Barbara County,259802,37441
US06085,Santa Clara County,1220073,80971
US06087,Santa Cruz County,161382,20044
US06089,Shasta County,103225,14885
US06091,Sierra County,1568,118
US06093,Siskiyou County,23394,4246
US06095,Solano County,270773,23163
US06097,Sonoma County,290260,25688
US06099,Stanislaus County,329154,39896
US06101,Sutter County,58035,7036
US06103,Tehama County,36576,5286
US06105,Trinity County,8756,2327
US06107,Tulare County,273697,45069
US06109,Tuolumne County,28152,3816
US06111,Ventura County,510491,40400
US06113,Yolo County,138002,27435
US06115,Yuba County,48038,7102
